issuerName,issuerTradingSymbol:ID(Company),form,sector,marketCap:double,:LABEL
MB FINANCIAL INC     /MD,MBFI,Form 4,Finance,3892813701.12,Company
ON ASSIGNMENT INC,ASGN,Form 4,Technology,3362564137.28,Company
Athene Holding Ltd,ATH,Form 4,Finance,8260474407.12,Company
SMITH A O CORP,AOS,Form 4,Consumer Durables,8629822897.89,Company
WISCONSIN ENERGY CORP,WEC,Form 4,Public Utilities,24542424129.4,Company
EMPIRE RESORTS INC,NYNY,Form 4,Consumer Services,414800162.5,Company
"TWITTER, INC.",TWTR,Form 4,Technology,24001608415.0,Company
EXELIXIS INC,EXEL,Form 4,Health Care,7416203157.3,Company
SIGA TECHNOLOGIES INC,SIGA,Form 4,Health Care,506693940.24,Company
AMN HEALTHCARE SERVICES INC,AHS,Form 4,unknown,,Company
TESLA MOTORS INC,TSLA,Form 4,Capital Goods,49909600883.52,Company
SALESFORCE COM INC,CRM,Form 4,Technology,123213510000.0,Company
SCHWEITZER MAUDUIT INTERNATIONAL INC,SWM,Form 4,Basic Industries,1176247990.53,Company
VALLEY NATIONAL BANCORP,VLY,Form 4,Finance,3422753411.02,Company
AMERICAN REALTY INVESTORS INC,ARL,Form 4,Finance,203962719.0,Company
SCHLUMBERGER LTD /NV/,SLB,Form 4,Energy,59804718337.25,Company
INSWEB CORP,INSW,Form 4,Consumer Services,544290943.65,Company
RGC RESOURCES INC,RGCO,Form 4,Public Utilities,218144527.11,Company
CELLULAR TECHNICAL SERVICES CO INC,CTSC,Form 4,unknown,,Company
BOK FINANCIAL CORP ET AL,BOKF,Form 4,Finance,6243954407.72,Company
FOX FACTORY HOLDING CORP,FOXF,Form 4,unknown,,Company
NICHOLAS FINANCIAL INC,NICK,Form 4,Finance,75222654.48,Company
Penumbra Inc,PEN,Form 4,Health Care,5153273208.12,Company
"Hortonworks, Inc.",HDP,Form 4,unknown,,Company
WHITE MOUNTAINS INSURANCE GROUP LTD,WTM,Form 4,Finance,2891647347.48,Company
NATUS MEDICAL INC,BABY,Form 4,Health Care,911651702.12,Company
"Workday, Inc.",WDAY,Form 4,Technology,40955200000.0,Company
PHIBRO ANIMAL HEALTH CORP,PAHC,Form 4,Health Care,1268101574.85,Company
Nimble Storage Inc,NMBL,Form 4,unknown,,Company
"ENVESTNET, INC.",ENV,Form 4,Miscellaneous,3099381577.01,Company
AECOM TECHNOLOGY CORP,ACM,Form 4,Consumer Services,4743722035.65,Company
"Yuma Energy, Inc.",YUMA,Form 4,Energy,2721844.6473,Company
Liberty Broadband Corp,LBRDA,Form 4,Consumer Services,16512837469.2,Company
ELLIE MAE INC,ELLI,Form 4,Technology,3455187434.56,Company
THESTREET COM,TSCM,Form 4,unknown,,Company
YELP INC,YELP,Form 4,Consumer Services,2833964544.65,Company
GIBRALTAR STEEL CORP,ROCK,Form 4,Capital Goods,1271733572.2,Company
"ENSIGN GROUP, INC",ENSG,Form 4,Health Care,2665368535.68,Company
BOTTOMLINE TECHNOLOGIES INC /DE/,EPAY,Form 4,Technology,2106567429.63,Company
CONSOLIDATED EDISON INC,ED,Form 4,Public Utilities,27349351807.36,Company
Liberty Media Corp,LMCA,Form 4,unknown,,Company
OncoMed Pharmaceuticals Inc,OMED,Form 4,Health Care,31725872.98,Company
PACCAR INC,PCAR,Form 4,Capital Goods,23833415323.34,Company
SCICLONE PHARMACEUTICALS INC,SCLN,Form 4,unknown,,Company
NEVRO CORP,NVRO,Form 4,Health Care,1332074291.45,Company
INTEL CORP,INTC,Form 4,Technology,244501890000.0,Company
COOPER COMPANIES INC,COO,Form 4,Health Care,14422679159.07,Company
CALIFORNIA WATER SERVICE GROUP,CWT,Form 4,Public Utilities,2601866710.0,Company
"Deep Down, Inc.",DPDW,Form 4,unknown,,Company
"VOCERA COMMUNICATIONS, INC.",VCRA,Form 4,Consumer Durables,1016865886.83,Company
"DICE HOLDINGS, INC.",DHX,Form 4,Miscellaneous,135642838.5,Company
ConforMIS Inc,CFMS,Form 4,Health Care,84878142.7,Company
CHART INDUSTRIES INC,CIDI,Form 4,unknown,,Company
TETRA TECH INC,TTEK,Form 4,Consumer Services,3248163141.0,Company
NATURAL GAS SERVICES GROUP INC,NGS,Form 4,Energy,241224462.06,Company
SJW CORP,SJW,Form 4,Public Utilities,1743721074.3,Company
NEWLINK GENETICS CORP,NLNK,Form 4,Health Care,67842505.64,Company
"Black Stone Minerals, L.P.",BSM,Form 4,Energy,3576290694.27,Company
UNITED DOMINION REALTY TRUST INC,UDR,Form 4,Consumer Services,12441082616.44,Company
FIRST INDUSTRIAL REALTY TRUST INC,FR,Form 4,Consumer Services,4400412723.52,Company
NEOGEN CORP,NEOG,Form 4,Health Care,3201993736.48,Company
NEWS CORP,NWS,Form 4,Consumer Services,7581026247.84,Company
SCHWAB CHARLES CORP,SCH,Form 4,unknown,,Company
EDISON INTERNATIONAL,EIX,Form 4,Public Utilities,20884498304.6,Company
"BLACKHAWK NETWORK HOLDINGS, INC",HAWK,Form 4,unknown,,Company
ANALOGIC CORP,ALOG,Form 4,unknown,,Company
DATAWATCH CORP,DWCH,Form 4,unknown,,Company
CEDAR FAIR L P,FUN,Form 4,Consumer Services,3111167455.0,Company
ACCESS NATIONAL CORP,ANCX,Form 4,unknown,,Company
STRATEGIC ACQUISITIONS INC /NV/,STQN,Form 4,unknown,,Company
PG&E CORP,PCG,Form 4,Public Utilities,10266345408.34,Company
Howard Hughes Corp,HHC,Form 4,Consumer Services,4661503070.14,Company
TCF FINANCIAL CORP,TCB,Form 4,unknown,,Company
SPS COMMERCE INC,SPSC,Form 4,Technology,1891973119.59,Company
Och-Ziff Capital Management Group LLC,OZM,Form 4,Finance,790374689.28,Company
LIQUIDITY SERVICES INC,LQDT,Form 4,Miscellaneous,244475604.02,Company
RESMED INC,RMD,Form 4,Health Care,14706879923.67,Company
MASIMO CORP,MASI,Form 4,Health Care,7078792087.64,Company
DILLARDS INC,DDS,Form 4,Consumer Services,1903594000.0,Company
NIKE INC,NKE,Form 4,unknown,,Company
"SPX FLOW, Inc.",FLOW,Form 4,Technology,1396863873.51,Company
CIRRUS LOGIC INC,CRUS,Form 4,Technology,2434301719.08,Company
CHICAGO PIZZA & BREWERY INC,CHGO,Form 4,unknown,,Company
Vanda Pharmaceuticals Inc.,VNDA,Form 4,Health Care,1003370891.24,Company
CRYOLIFE INC,CRY,Form 4,Health Care,1086206995.8,Company
American Exploration Corp,AEXP,Form 4,unknown,,Company
HEALTHCARE REALTY TRUST INC,HR,Form 4,Consumer Services,3980604930.66,Company
"National Waste Management Holdings, Inc.",NWMH,Form 4,unknown,,Company
RAYTHEON CO/,RTN,Form 4,Capital Goods,51251780010.0,Company
Clough Global Equity Fund,GLQ,Form 4,unknown,,Company
TEJON RANCH CO,TRC,Form 4,Finance,473658003.51,Company
"Fortune Brands Home & Security, Inc.",FBHS,Form 4,Basic Industries,6501810386.7,Company
TRIARC COMPANIES INC,(TRY),Form 4,unknown,,Company
"HUNTINGTON INGALLS INDUSTRIES, INC.",HII,Form 4,Capital Goods,8631161403.13,Company
Targa Resources Corp.,TRGP,Form 4,Public Utilities,9466800919.4,Company
XL CAPITAL LTD,XL,Form 4,unknown,,Company
HYBRIDON INC,HYBN,Form 4,unknown,,Company
RANGE RESOURCES CORP,RRC,Form 4,Energy,2704250052.52,Company
GOODYEAR TIRE & RUBBER CO /OH/,GT,Form 4,Consumer Durables,4129654151.14,Company
NORDSON CORP,NDSN,Form 4,Capital Goods,7583545548.69,Company
SONOCO PRODUCTS CO,SON,Form 4,Consumer Durables,5889792003.3,Company
Xactly Corp,XTLY,Form 4,unknown,,Company
"Parkway, Inc.",PKY,Form 4,unknown,,Company
TechTarget Inc,TTGT,Form 4,Miscellaneous,436041496.05,Company
Wingstop Inc.,WING,Form 4,Consumer Services,2036650455.24,Company
CARMAX INC,KMX,Form 4,Consumer Durables,10353203846.58,Company
Straight Path Communications Inc.,STRP,Form 4,unknown,,Company
"Porter Bancorp, Inc.",PBIB,Form 4,unknown,,Company
MAGELLAN MIDSTREAM PARTNERS LP,MMP,Form 4,Energy,13717909885.68,Company
UNITY BANCORP INC /DE/,UNTY,Form 4,Finance,219753911.3,Company
NCR CORP,NCR,Form 4,Miscellaneous,3337523000.0,Company
HORMEL FOODS CORP /DE/,HRL,Form 4,unknown,,Company
Genie Energy Ltd.,GNE,Form 4,Public Utilities,214706783.86,Company
DTE ENERGY CO,DTE,Form 4,Public Utilities,22587644729.6,Company
INTERNATIONAL SPEEDWAY CORP,"ISCA, ISCB",Form 4,unknown,,Company
PREFORMED LINE PRODUCTS CO,PLPC,Form 4,Basic Industries,269596017.0,Company
RYDER SYSTEM INC,R,Form 4,Consumer Services,3245966853.57,Company
BROWN FORMAN CORP,"BFA, BFB",Form 4,unknown,,Company
HEALTHSOUTH CORP,HLSH,Form 4,unknown,,Company
NATIONAL FUEL GAS CO,NFG,Form 4,Public Utilities,5206908682.0,Company
ACTUANT CORP,ATU,Form 4,Technology,1492057197.94,Company
OCCIDENTAL PETROLEUM CORP /DE/,OXY,Form 4,Energy,48765491581.58,Company
NEW JERSEY RESOURCES CORP,NJR,Form 4,Public Utilities,4474128607.2,Company
GENERAL DYNAMICS CORP,GD,Form 4,Capital Goods,49495873556.16,Company
MANUFACTURED HOME COMMUNITIES INC,MHC,Form 4,unknown,,Company
DOVER DOWNS GAMING & ENTERTAINMENT INC,DDE,Form 4,Consumer Services,87567088.86,Company
ALICO INC,ALCO,Form 4,unknown,,Company
ALLSTATE CORP,ALL,Form 4,Finance,31055148379.2,Company
FIVE PRIME THERAPEUTICS INC,FPRX,Form 4,Health Care,424781173.53,Company
BARD C R INC /NJ/,BCR,Form 4,unknown,,Company
PPL CORP,PPL,Form 4,Public Utilities,23430449152.5,Company
APACHE CORP,APA,Form 4,Energy,12883919745.84,Company
SEMPRA ENERGY,SRE,Form 4,Public Utilities,34074046064.64,Company
TransDigm Group INC,TDG,Form 4,Capital Goods,23271574370.7,Company
GENUINE PARTS CO,GPC,Form 4,Capital Goods,15640793295.05,Company
Care Investment Trust Inc.,CRE,Form 4,unknown,,Company
AVISTA CORP,AVA,Form 4,Public Utilities,2726559702.81,Company
SAUL CENTERS INC,BFS,Form 4,Consumer Services,1140221000.0,Company
PATRIOT TRANSPORTATION HOLDING INC,PATR,Form 4,unknown,,Company
RAYMOND JAMES FINANCIAL INC,RJF,Form 4,Finance,11552421351.35,Company
FIRST BANCORP /PR/,FBP,Form 4,Finance,2472172639.22,Company
NORTHRIM BANCORP INC,NRIM,Form 4,Finance,254885488.48,Company
R & B INC,RBIN,Form 4,unknown,,Company
MARRIOTT INTERNATIONAL INC /MD/,MAR,Form 4,Consumer Services,40824797759.41,Company
HIGH INCOME OPPORTUNITY FUND INC,HIO,Form 4,unknown,,Company
FRESH DEL MONTE PRODUCE INC,FDP,Form 4,unknown,,Company
PRICE T ROWE GROUP INC,TROW,Form 4,Finance,23945317988.35,Company
POLARIS INDUSTRIES INC/MN,PII,Form 4,Capital Goods,5303578464.0,Company
Compass Diversified Trust,CODI,Form 4,Consumer Durables,945222000.0,Company
"STAG Industrial, Inc.",STIR,Form 4,unknown,,Company
WOLVERINE WORLD WIDE INC /DE/,WWW,Form 4,unknown,,Company
JONES SODA CO,UJSA,Form 4,unknown,,Company
DENBURY RESOURCES INC,DNR,Form 4,Energy,838005009.66,Company
KENNAMETAL INC,KMT,Form 4,Capital Goods,3036065065.8,Company
"Waterstone Financial, Inc.",WSBF,Form 4,Finance,474699689.1,Company
"INFORMATION SYSTEMS ASSOCIATES, INC.",IOSA,Form 4,unknown,,Company
KINDRED HEALTHCARE INC,KIND,Form 4,unknown,,Company
CNB FINANCIAL CORP/PA,CCNE,Form 4,Finance,412991181.7,Company
SUNTRUST BANKS INC,STI,Form 4,Finance,28368325632.0,Company
DOVER MOTORSPORTS INC,DVD,Form 4,Consumer Services,75077103.009,Company
CANADIAN PACIFIC RAILWAY LTD/CN,CP,Form 4,Transportation,28711519261.68,Company
WILLIAM LYON HOMES,WLS,Form 4,unknown,,Company
LEXINGTON CORPORATE PROPERTIES TRUST,LXP,Form 4,unknown,,Company
Bank of Marin Bancorp,BMRC,Form 4,Finance,600317919.68,Company
PREFERRED APARTMENT COMMUNITIES INC,APTS,Form 4,Consumer Services,692865588.1,Company
DONALDSON CO INC,DCI,Form 4,Capital Goods,6234640896.0,Company
GENCORP INC,GY,Form 4,unknown,,Company
"Avangrid, Inc.",AGR,Form 4,Public Utilities,15292670911.28,Company
AAON INC,AAON,Form 4,Capital Goods,2179892522.7,Company
INTERMEDIATE MUNI FUND INC,SBI,Form 4,unknown,,Company
FIDELITY D & D BANCORP INC,FDBC,Form 4,Finance,230227248.24,Company
COMMERCIAL METALS CO,CMC,Form 4,Basic Industries,1902226074.21,Company
Neenah Paper Inc,NP,Form 4,Basic Industries,1073644800.0,Company
"Nivalis Therapeutics, Inc.",NVLS,Form 4,unknown,,Company
NATIONAL RESEARCH CORP,NRCI,Form 4,unknown,,Company
REX STORES CORP,RSC,Form 4,unknown,,Company
MANNATECH INC,MTEX,Form 4,Consumer Durables,40584541.6709,Company
John Bean Technologies CORP,JBT,Form 4,Technology,2880199586.49,Company
TESCO CORP,TESOF,Form 4,unknown,,Company
INTERFACE INC,IFSIA,Form 4,unknown,,Company
EASTMAN CHEMICAL CO,EMN,Form 4,Basic Industries,11442172397.52,Company
CAFEPRESS INC.,PRSS,Form 4,unknown,,Company
HEICO CORP,HEI. HEI A,Form 4,unknown,,Company
MCGRAW-HILL COMPANIES INC,MHP,Form 4,unknown,,Company
DUKE REALTY CORP,DRE,Form 4,Consumer Services,11046740515.5,Company
KULICKE & SOFFA INDUSTRIES INC,KLIC,Form 4,Technology,1500731688.85,Company
EAGLE BANCORP INC,EGBN,Form 4,Finance,1925985728.56,Company
MBT FINANCIAL CORP,MBTF,Form 4,Finance,249136180.5,Company
UNITED FIRE & CASUALTY CO,UFCS,Form 4,Finance,1140098828.6,Company
HomeTown Bankshares Corp,HMTA,Form 4,Finance,82034220.68,Company
MEDIA GENERAL INC,MEG,Form 4,unknown,,Company
TREX CO INC,TWP,Form 4,unknown,,Company
PUROFLOW INC,PFLW,Form 4,unknown,,Company
"Eastside Distilling, Inc.",ESDI,Form 4,unknown,,Company
Huron Consulting Group Inc.,HURN,Form 4,Consumer Services,1069617232.74,Company
GLOBALWISE INVESTMENTS INC,GWIV,Form 4,unknown,,Company
JAKKS PACIFIC INC,JAKK,Form 4,unknown,,Company
"Quad/Graphics, Inc.",QUAD,Form 4,Miscellaneous,629925771.38,Company
STONEMOR PARTNERS LP,STON,Form 4,Consumer Services,144242851.0,Company
Medley Capital Corp,MCC,Form 4,unknown,,Company
Essent Group Ltd.,ESNT,Form 4,Finance,4291252202.62,Company
Realogy Holdings Corp.,RLGY,Form 4,Finance,1366371415.92,Company
SHUTTERFLY INC,SFLY,Form 4,Miscellaneous,1396718997.0,Company
Global Partners LP,GLP,Form 4,Energy,641836229.44,Company
HARRAHS ENTERTAINMENT INC,HET,Form 4,unknown,,Company
HEALTHCARE SERVICES GROUP INC,HCSG,Form 4,Health Care,2351942260.0,Company
REALTY INCOME CORP,O,Form 4,Consumer Services,21660349422.1,Company
Chemours Co,CC,Form 4,Basic Industries,6509432006.91,Company
ANTIGENICS INC /DE/,AGEN,Form 4,Health Care,388076119.12,Company
CENTENE CORP,CNTE,Form 4,unknown,,Company
CYPRESS SEMICONDUCTOR CORP /DE/,CY,Form 4,Technology,5516397392.96,Company
AMERICAN STATES WATER CO,AWR,Form 4,Public Utilities,2623839526.75,Company
STEELCASE INC,NYSE: SCS,Form 4,unknown,,Company
MANAGED MUNICIPALS PORTFOLIO INC,MMU,Form 4,unknown,,Company
eXegenics Inc,EXG,Form 4,unknown,,Company
Western Asset Municipal Defined Opportunity Trust Inc.,MTT,Form 4,unknown,,Company
WINMARK CORP,WINA,Form 4,Consumer Services,663232496.76,Company
UNIVERSAL FOREST PRODUCTS INC,UFPI,Form 4,Basic Industries,1846036040.1,Company
MONMOUTH REAL ESTATE INVESTMENT CORP,MNRTA,Form 4,unknown,,Company
CIENA CORP,CIENA,Form 4,unknown,,Company
CONMED CORP,CNMD,Form 4,Health Care,2237114513.16,Company
COGENT COMMUNICATIONS GROUP INC,COI,Form 4,unknown,,Company
ATLAS AIR WORLDWIDE HOLDINGS INC,AAWWV,Form 4,unknown,,Company
TUPPERWARE CORP,TUP,Form 4,unknown,,Company
EXACT SCIENCES CORP,EXAS,Form 4,Health Care,11920876374.53,Company
COMPASS MINERALS INTERNATIONAL INC,CMP,Form 4,Basic Industries,1744502554.0,Company
BRISTOL MYERS SQUIBB CO,(BMY),Form 4,unknown,,Company
BIOVAIL CORP INTERNATIONAL,BVF,Form 4,unknown,,Company
Pebblebrook Hotel Trust,PEB,Form 4,Consumer Services,4194857647.76,Company
STEWART INFORMATION SERVICES CORP,STC,Form 4,Finance,1011634170.56,Company
GrubHub Inc.,GRUB,Form 4,Miscellaneous,6935061911.49,Company
"Veritex Holdings, Inc.",VBTX,Form 4,Finance,1415822081.96,Company
CONCHO RESOURCES INC,CXO,Form 4,Energy,20480671087.2,Company
NORTHSTAR REALTY,NRF,Form 4,unknown,,Company
DANAHER CORP /DE/,DHR,Form 4,Capital Goods,91481660314.2,Company
VIACOM INC,"VIA, VIAB",Form 4,unknown,,Company
"MySkin, Inc.",MYSK,Form 4,unknown,,Company
"EAGLE PHARMACEUTICALS, INC.",EGRX,Form 4,Health Care,671290310.16,Company
PATTERSON DENTAL CO,PDCO,Form 4,Health Care,2143205880.0,Company
"Cobalt International Energy, Inc.",CIE,Form 4,unknown,,Company
SCANSOFT INC,SSFT,Form 4,unknown,,Company
SEGMENTZ INC,SZI,Form 4,unknown,,Company
HUB GROUP INC,HUBG,Form 4,Transportation,1526931389.65,Company
EQUINIX INC,EQIX,Form 4,Consumer Services,36799691003.22,Company
INVESTMENT TECHNOLOGY GROUP INC,ITG,Form 4,unknown,,Company
C H ROBINSON WORLDWIDE INC,CHRW,Form 4,Transportation,12190928486.8,Company
